,avg_five,avg_hundred_twenty,avg_sixty,avg_ten,avg_twenty,date,finial_price,foreign_investment,highest_price,legal_person,lowest_price,opening_price,quantity,self_employed,short_buy,short_sell
0,32.868,32.623083333333334,33.586333333333336,33.374,34.746,2016/12/27,33.1,5705,33.32,208142,33.03,33.11,31606,3373,19400,3373
1,32.778,32.60266666666667,33.54716666666666,33.604,34.958000000000006,2016/12/26,32.45,5705,32.59,206575,31.91,32.59,46082,3395,179551,3395
2,32.986,32.58716666666667,33.52016666666667,33.936,35.180499999999995,2016/12/23,32.58,21408,33.1,1309,32.58,33.0,25003,16599,178433,7175
3,33.214,32.563250000000004,33.49166666666667,34.38199999999999,35.3365,2016/12/22,32.86,14253,33.34,1309,32.84,33.34,32759,11647,176694,5956
4,33.456,32.53625,33.462,34.641,35.4885,2016/12/21,33.35,11707,33.43,1309,32.81,32.85,37058,15436,173988,6007
5,33.88,32.501333333333335,33.42916666666667,34.85600000000001,35.596000000000004,2016/12/20,32.65,12106,33.57,1309,32.55,33.5,65041,22655,173958,8081
6,34.43,32.4685,33.41,35.157000000000004,35.7105,2016/12/19,33.49,14417,33.85,1309,33.42,33.81,34139,31364,168191,7869
7,34.886,32.4295,33.36983333333333,35.376999999999995,35.7635,2016/12/16,33.72,11795,34.2,1309,33.72,33.85,42462,34400,164287,8057
8,35.55,32.38433333333333,33.32416666666667,35.663,35.773,2016/12/15,34.07,13872,35.17,1309,34.02,35.17,84777,53445,163152,8242
9,35.82600000000001,32.34025,33.276666666666664,35.963,35.758,2016/12/14,35.47,10577,35.85,1309,35.33,35.5,31985,60775,157475,8612
10,35.83200000000001,32.28658333333333,33.206833333333336,36.118,35.673500000000004,2016/12/13,35.4,10071,35.78,1309,35.12,35.42,55155,69556,157234,11014
11,35.884,32.233250000000005,33.140166666666666,36.312,35.6,2016/12/12,35.77,15719,37.27,1309,35.47,36.81,72086,94518,160631,10636
12,35.867999999999995,32.1745,33.0665,36.425,35.5215,2016/12/09,37.04,20107,37.04,1309,35.49,35.52,70020,94572,153161,13786
13,35.775999999999996,32.10725,32.98016666666667,36.291,35.3525,2016/12/08,35.45,23120,36.05,3182,35.45,36.0,37177,91002,159990,16202
