,avg_five,avg_hundred_twenty,avg_sixty,avg_ten,avg_twenty,date,finial_price,foreign_investment,highest_price,legal_person,lowest_price,opening_price,quantity,self_employed,short_buy,short_sell
0,32.88,30.53541666666666,32.979166666666664,32.91,32.8825,2017/01/11,32.85,0,33.0,0,32.85,32.85,264,0,53,0
1,32.870000000000005,30.48999999999999,32.95833333333333,32.925,32.897499999999994,2017/01/10,32.85,0,33.05,0,32.7,32.9,311,0,6295,0
2,32.870000000000005,30.43999999999999,32.93749999999999,32.925,32.915,2017/01/09,32.9,10265,33.1,604,32.8,32.8,218,369,6370,43
3,32.88,30.39499999999999,32.91416666666666,32.925,32.945,2017/01/06,32.9,10357,33.1,604,32.85,32.9,325,369,6381,43
4,32.88,30.354583333333323,32.8925,32.89,32.985,2017/01/05,32.9,10351,33.15,604,32.8,33.15,272,369,6411,43
5,32.94,30.313749999999988,32.87916666666666,32.875,33.045,2017/01/04,32.8,10367,33.2,604,32.8,33.15,313,369,6432,43
6,32.98,30.27749999999999,32.87416666666666,32.879999999999995,33.095,2017/01/03,32.85,10403,32.95,604,32.75,32.85,181,369,6416,43
7,32.98,30.255416666666655,32.90083333333333,32.864999999999995,33.12,2016/12/30,32.95,10401,33.15,604,32.8,33.15,194,369,6439,43
8,32.970000000000006,30.224999999999987,32.92249999999999,32.875,33.122499999999995,2016/12/29,32.9,10419,33.1,604,32.85,33.0,179,369,6439,45
9,32.9,30.18749999999999,32.93916666666666,32.885000000000005,33.1425,2016/12/28,33.2,10445,33.4,604,33.1,33.15,194,369,6446,45
10,32.81,30.13499999999999,32.949999999999996,32.855000000000004,33.154999999999994,2016/12/27,33.0,10464,33.15,604,32.8,33.15,197,369,6473,49
11,32.779999999999994,30.087916666666658,32.96,32.87,33.195,2016/12/26,32.85,10503,33.2,604,32.8,33.2,223,369,6463,47
12,32.75,30.04499999999999,32.979166666666664,32.905,33.247499999999995,2016/12/23,32.9,10495,33.75,604,32.8,33.0,1379,369,6500,48
13,32.78,30.001666666666658,33.01,32.964999999999996,33.272499999999994,2016/12/22,32.55,10487,32.95,604,32.55,32.8,259,369,6449,47
14,32.870000000000005,29.959583333333324,32.89416666666666,33.08,33.334999999999994,2016/12/21,32.75,10487,33.0,604,32.7,33.0,156,369,6454,40
15,32.900000000000006,29.901666666666657,32.77333333333333,33.214999999999996,33.36,2016/12/20,32.85,10489,33.0,504,32.7,33.0,286,379,6466,33
16,32.959999999999994,29.84249999999999,32.659166666666664,33.309999999999995,33.339999999999996,2016/12/19,32.7,10512,33.25,504,32.7,33.25,335,379,6494,33
17,33.059999999999995,29.78333333333332,32.552499999999995,33.37499999999999,33.3275,2016/12/16,33.05,10559,33.3,504,32.95,33.2,198,374,6465,34
18,33.15,29.717083333333324,32.44083333333333,33.36999999999999,33.2875,2016/12/15,33.0,10596,33.2,454,32.75,32.9,325,373,6463,33
19,33.290000000000006,29.649999999999988,32.33166666666666,33.39999999999999,33.2275,2016/12/14,32.9,10601,33.5,454,32.8,33.3,529,372,6465,33
20,33.53,29.585833333333323,32.23,33.455,33.18,2016/12/13,33.15,10589,33.25,454,33.0,33.15,410,372,6565,33
21,33.66,29.51666666666666,32.12833333333332,33.519999999999996,33.127500000000005,2016/12/12,33.2,10553,33.65,454,33.15,33.25,472,372,6619,34
22,33.690000000000005,29.451666666666657,32.02083333333333,33.589999999999996,33.0875,2016/12/09,33.5,10538,33.7,454,33.5,33.7,407,372,6644,35
23,33.59,29.38499999999999,31.90666666666666,33.58,33.032500000000006,2016/12/08,33.7,10440,34.55,454,33.7,34.4,807,372,6673,39
24,33.51,29.31999999999999,31.792499999999993,33.589999999999996,33.002500000000005,2016/12/07,34.1,10431,34.2,404,34.0,34.15,744,371,6677,40
