,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,2438673,2016/12,27.4,3507028,1095548,-84.1,173886,-30.5
1,2264787,2016/11,-0.9,2411481,1106793,-87.7,136474,-6.1
2,2128313,2016/10,-20.2,1304688,524,26195.2,137787,63.1
3,1990526,2016/09,44.8,1304164,6776,2448.7,172700,52.6
4,1817827,2016/08,-31.2,1297388,63219,88.6,119235,40.1
5,1698591,2016/07,104.3,1234169,85493,102.7,173288,37.6
6,1525303,2016/06,25.4,1148676,1148676,-92.6,84836,32.8
7,1440467,2016/05,75.2,0,0,0.0,67651,0.0
8,1372817,2016/04,-46.9,0,0,0.0,38620,0.0
9,1334197,2016/03,-16.6,0,0,0.0,72744,0.0
10,1261453,2016/02,-92.6,0,0,0.0,87235,0.0
11,1174218,2016/01,7.2,0,0,0.0,1174218,0.0
12,3507028,2015/12,-1.0,3133,0,1000000.0,1095548,111838.3
13,2411480,2015/11,211120.0,1542,0,0.0,1106793,76870.3
14,1304687,2015/10,-92.3,1542,0,0.0,524,41543.4
15,1304164,2015/09,-89.3,1542,1542,339.4,6776,41526.7
16,1297388,2015/08,-26.0,0,0,0.0,63219,81445.4
17,1234169,2015/07,-92.6,0,0,0.0,85493,77471.9
18,1148676,2015/06,0.0,0,1324,86658.0,1148676,72098.4
19,0,2015/05,1000000.0,267,267,-100.0,0,-100.0
20,0,2015/04,1000000.0,0,0,1000000.0,0,1000000.0
21,0,2015/03,1000000.0,0,0,1000000.0,0,1000000.0
22,0,2015/02,1000000.0,0,0,1000000.0,0,1000000.0
23,0,2015/01,1000000.0,0,0,1000000.0,0,1000000.0
24,3133,2014/12,1000000.0,514,0,1000000.0,0,509.5
25,3133,2014/11,1000000.0,514,0,1000000.0,0,509.5
26,3133,2014/10,-100.0,514,0,0.0,0,509.5
27,3133,2014/09,0.0,0,0,0.0,1542,509.5
28,1591,2014/08,0.0,514,0,0.0,0,209.5
29,1591,2014/07,-100.0,514,0,0.0,0,209.5
30,1591,2014/06,395.9,0,0,0.0,1324,209.5
31,267,2014/05,0.0,0,0,0.0,267,-48.0
32,0,2014/04,0.0,514,0,0.0,0,-100.0
33,0,2014/03,0.0,514,0,0.0,0,-100.0
34,0,2014/02,0.0,514,514,-100.0,0,-100.0
35,0,2014/01,0.0,0,0,0.0,0,0.0
36,514,2013/12,0.0,885708,0,0.0,0,-99.9
37,514,2013/11,0.0,885708,47929,-100.0,0,-99.9
38,514,2013/10,0.0,837779,806541,-100.0,0,-99.9
39,514,2013/09,0.0,31238,0,0.0,0,-98.3
40,514,2013/08,0.0,31238,0,0.0,0,-98.3
41,514,2013/07,0.0,31238,0,0.0,0,-98.3
42,514,2013/06,0.0,31238,0,0.0,0,-98.3
43,514,2013/05,0.0,31238,14248,-100.0,0,-98.3
44,514,2013/04,0.0,16990,16990,-100.0,0,-97.0
45,514,2013/03,-100.0,0,0,0.0,0,0.0
46,514,2013/02,0.0,0,0,0.0,514,0.0
47,0,2013/01,0.0,0,0,0.0,0,0.0
48,885708,2012/12,-100.0,40781,0,0.0,0,2071.9
49,885708,2012/11,-94.1,40781,14867,222.4,47929,2071.9
50,837779,2012/10,0.0,25914,0,0.0,806541,3132.9
51,31238,2012/09,0.0,25914,485,-100.0,0,20.5
52,31238,2012/08,0.0,25429,0,0.0,0,22.8
53,31238,2012/07,0.0,25429,0,0.0,0,22.8
54,31238,2012/06,-100.0,25429,0,0.0,0,22.8
55,31238,2012/05,-16.1,25429,0,0.0,14248,22.8
56,16990,2012/04,0.0,25429,0,0.0,16990,-33.2
57,0,2012/03,0.0,25429,267,-100.0,0,-100.0
58,0,2012/02,0.0,25162,20857,-100.0,0,-100.0
59,0,2012/01,0.0,4305,4305,-100.0,0,-100.0
